timestamp,university_answer,windows_experience,reason_for_not_choosing_mac
2024/01/11 16:41:07,Yes,良い,特に理由がない人はwindowsを買うものだと思っていた
2024/01/14 20:51:29,No,最高に良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/14 20:53:06,No,良い,コスパが悪い
2024/01/14 20:53:18,No,最高に良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/14 20:53:34,No,最高に良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/14 20:54:15,No,最高に良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/14 20:54:57,No,最高に良い,コスパが悪い
2024/01/14 20:55:11,No,最高に良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/14 20:55:22,No,良い,コスパが悪い
2024/01/14 20:55:39,No,最高に良い,コスパが悪い
2024/01/14 20:55:54,No,普通,コスパが悪い
2024/01/14 20:56:07,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/14 20:57:11,No,普通,コスパが悪い
2024/01/14 20:57:24,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/14 20:57:59,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/14 20:58:12,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/14 20:58:32,No,最高に良い,コスパが悪い
2024/01/14 20:59:11,No,最高に良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/14 20:59:25,No,最高に良い,コスパが悪い
2024/01/15 18:32:25,No,最高に良い,コスパが悪い
2024/01/15 18:36:40,No,最高に良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/15 18:38:54,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/15 18:40:39,No,良い,コスパが悪い
2024/01/15 18:41:29,No,良い,コスパが悪い
2024/01/15 18:42:54,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/15 18:50:30,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/15 18:55:44,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/15 18:58:32,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/15 18:59:23,No,良い,コスパが悪い
2024/01/15 19:10:39,No,良い,コスパが悪い
2024/01/15 19:13:22,No,良い,コスパが悪い
2024/01/15 19:20:34,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/15 19:23:44,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/15 19:33:56,No,良い,コスパが悪い
2024/01/16 17:34:39,No,良い,コスパが悪い
2024/01/16 17:35:39,No,良い,コスパが悪い
2024/01/16 17:38:54,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/16 17:38:54,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/16 17:40:39,No,良い,コスパが悪い
2024/01/16 17:40:39,No,良い,コスパが悪い
2024/01/16 17:40:39,No,良い,コスパが悪い
2024/01/16 17:38:54,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/16 17:38:54,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/16 17:31:39,No,良い,コスパが悪い
2024/01/16 17:32:39,No,良い,コスパが悪い
2024/01/16 17:38:54,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/16 17:38:54,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/16 17:34:44,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/16 17:38:54,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/16 17:39:40,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/16 17:55:56,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/16 18:10:54,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/16 18:15:39,No,良い,コスパが悪い
2024/01/16 18:28:39,No,良い,コスパが悪い
2024/01/16 21:32:39,No,良い,コスパが悪い
2024/01/16 21:34:37,No,良い,コスパが悪い
2024/01/16 21:38:54,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/16 21:38:48,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/16 21:40:39,No,良い,コスパが悪い
2024/01/16 21:45:54,No,良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)